epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,475.082,1.09913,0.88333,1.03485,0.69717,0.66859,0.71985,0.35522,1.79818,1.4525,1.28359,0.000614,0.000614,0.000614
72,481.715,1.01328,0.8035,0.97569,0.76897,0.64424,0.71095,0.37647,1.77469,1.4411,1.26745,0.0005942,0.0005942,0.0005942
73,489.331,1.12321,0.99496,1.00288,0.76897,0.64424,0.71095,0.37647,1.77469,1.4411,1.26745,0.0005744,0.0005744,0.0005744
74,495.927,1.08703,0.89929,0.99254,0.76897,0.64424,0.71095,0.37647,1.77469,1.4411,1.26745,0.0005546,0.0005546,0.0005546
75,503.65,1.04383,0.8263,0.9572,0.66654,0.64516,0.70848,0.39302,1.76874,1.46052,1.26132,0.0005348,0.0005348,0.0005348
76,510.525,1.04598,1.01463,1.05684,0.66654,0.64516,0.70848,0.39302,1.76874,1.46052,1.26132,0.000515,0.000515,0.000515
77,517.226,1.04996,0.81967,0.99559,0.66654,0.64516,0.70848,0.39302,1.76874,1.46052,1.26132,0.0004952,0.0004952,0.0004952
78,523.726,1.20172,0.91094,0.97937,0.72861,0.58065,0.73497,0.39633,1.79308,1.48791,1.25815,0.0004754,0.0004754,0.0004754
79,530.155,1.10846,0.86348,0.97365,0.72861,0.58065,0.73497,0.39633,1.79308,1.48791,1.25815,0.0004556,0.0004556,0.0004556
80,536.652,1.05188,0.83353,0.94891,0.72861,0.58065,0.73497,0.39633,1.79308,1.48791,1.25815,0.0004358,0.0004358,0.0004358
81,543.192,1.01272,0.84533,0.98973,0.72861,0.58065,0.73497,0.39633,1.79308,1.48791,1.25815,0.000416,0.000416,0.000416
82,551.35,1.01466,0.82706,1.01502,0.81202,0.6129,0.75165,0.41532,1.78831,1.48224,1.24655,0.0003962,0.0003962,0.0003962
83,557.794,0.98095,0.7764,0.93815,0.81202,0.6129,0.75165,0.41532,1.78831,1.48224,1.24655,0.0003764,0.0003764,0.0003764
84,564.283,1.098,0.93629,0.99736,0.81202,0.6129,0.75165,0.41532,1.78831,1.48224,1.24655,0.0003566,0.0003566,0.0003566
85,570.771,1.0993,0.82368,0.9971,0.74418,0.65714,0.74498,0.40415,1.7999,1.46161,1.25587,0.0003368,0.0003368,0.0003368
86,577.119,0.99138,0.79873,0.95071,0.74418,0.65714,0.74498,0.40415,1.7999,1.46161,1.25587,0.000317,0.000317,0.000317
